gene_ID	PC_ID	genome	KO_ID	KO_annotation	COG_ID	COG_annotation	rRNA
51	PC_00001107	genome_2	K05515	mrdA; penicillin-binding protein 2 [EC:3.4.16.4]	COG0768	Cell division protein FtsI/penicillin-binding protein 2	FALSE
52	PC_00000486	genome_2	NA	NA	COG0438	Glycosyltransferase involved in cell wall bisynthesis	FALSE
53	PC_00000088	genome_2	K06118	SQD1; UDP-sulfoquinovose synthase [EC:3.13.1.1]	COG0451	Nucleoside-diphosphate-sugar epimerase	FALSE
54	PC_00000013	genome_2	NA	NA	NA	NA	FALSE
55	PC_00000945	genome_2	K03149	thiG; thiazole synthase [EC:2.8.1.10]	COG2022	Thiamin biosynthesis thiazole synthase ThiGH, ThiG subunit	FALSE
56	PC_00002113	genome_2	NA	NA	NA	NA	FALSE
57	PC_00000752	genome_2	NA	NA	COG0457	Tetratricopeptide (TPR) repeat	FALSE
58	PC_00000170	genome_2	K02887	RP-L20; large subunit ribosomal protein L20	COG0292	Ribosomal protein L20	FALSE
59	PC_00001405	genome_2	K02916	RP-L35; large subunit ribosomal protein L35	COG0291	Ribosomal protein L35	FALSE
60	PC_00001380	genome_2	NA	NA	COG2385	Peptidoglycan hydrolase (amidase) enhancer domain	FALSE
61	PC_00001119	genome_2	K19003	mgdA; 1,2-diacylglycerol 3-beta-glucosyltransferase [EC:2.4.1.336]	COG1215	Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase	FALSE
62	PC_00000747	genome_2	K02343	DPO3G; DNA polymerase III subunit gamma/tau [EC:2.7.7.7]	COG2812	DNA polymerase III, gamma/tau subunits	FALSE
63	PC_00000802	genome_2	NA	NA	COG1842	Phage shock protein A	FALSE
64	PC_00000502	genome_2	K03544	clpX; ATP-dependent Clp protease ATP-binding subunit ClpX	COG1219	ATP-dependent protease Clp, ATPase subunit	FALSE
65	PC_00000005	genome_2	K01358	clpP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	COG0740	ATP-dependent protease ClpP, protease subunit	FALSE
66	PC_00000715	genome_2	K03545	tig; trigger factor	COG0544	FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)	FALSE
67	PC_00000680	genome_2	K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	COG0136	Aspartate-semialdehyde dehydrogenase	FALSE
68	PC_00001054	genome_2	K01714	dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	COG0329	Dihydrodipicolinate synthase/N-acetylneuraminate lyase	FALSE
69	PC_00000870	genome_2	K12574	rnj; ribonuclease J [EC:3.1.-.-]	COG0595	mRNA degradation ribonuclease J1/J2	FALSE
70	PC_00003770	genome_2	NA	NA	NA	NA	FALSE
71	PC_00002078	genome_2	K04075	tilS; tRNA(Ile)-lysidine synthase [EC:6.3.4.19]	COG0037	tRNA(Ile)-lysidine synthase TilS/MesJ	FALSE
72	PC_00000654	genome_2	NA	NA	COG2070	NAD(P)H-dependent flavin oxidoreductase YrpB, nitropropane dioxygenase family	FALSE
73	PC_00001996	genome_2	K08972	putative membrane protein	COG1950	Uncharacterized membrane protein YvlD, DUF360 family	FALSE
74	PC_00000054	genome_2	K03702	uvrB; excinuclease ABC subunit B	COG0556	Excinuclease UvrABC helicase subunit UvrB	FALSE
75	PC_00000104	genome_2	K00928	lysC; aspartate kinase [EC:2.7.2.4]	COG0527!!!COG0527	Aspartokinase!!!Aspartokinase	FALSE
76	PC_00005895	genome_2	NA	NA	COG1462	Curli biogenesis system outer membrane secretion channel CsgG	FALSE
77	PC_00001041	genome_2	K02340	DPO3D1; DNA polymerase III subunit delta [EC:2.7.7.7]	COG1466	DNA polymerase III, delta subunit	FALSE
78	PC_00001539	genome_2	K06042	cobH-cbiC; precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60]	COG2082	Precorrin isomerase	FALSE
79	PC_00000047	genome_2	K03555	mutS; DNA mismatch repair protein MutS	COG0249	DNA mismatch repair ATPase MutS	FALSE
80	PC_00001159	genome_2	K02724	psbZ; photosystem II PsbZ protein	NA	NA	FALSE
81	PC_00000562	genome_2	K00794	ribH; 6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]	COG0054	6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)	FALSE
82	PC_00003830	genome_2	NA	NA	COG0346	Catechol 2,3-dioxygenase or other lactoylglutathione lyase family enzyme	FALSE
83	PC_00000063	genome_2	NA	NA	COG0454	N-acetyltransferase, GNAT superfamily (includes histone acetyltransferase HPA2)	FALSE
84	PC_00002249	genome_2	NA	NA	COG0438	Glycosyltransferase involved in cell wall bisynthesis	FALSE
85	PC_00001021	genome_2	K03070	secA; preprotein translocase subunit SecA	COG0653!!!COG0653	Preprotein translocase subunit SecA (ATPase, RNA helicase)!!!Preprotein translocase subunit SecA (ATPase, RNA helicase)	FALSE
86	PC_00000418	genome_2	K00640	cysE; serine O-acetyltransferase [EC:2.3.1.30]	COG1045	Serine acetyltransferase	FALSE
87	PC_00001208	genome_2	K07978	plmA; GntR family transcriptional regulator	COG1725	DNA-binding transcriptional regulator YhcF, GntR family	FALSE
88	PC_00001674	genome_2	K01061	E3.1.1.45; carboxymethylenebutenolidase [EC:3.1.1.45]	COG0412	Dienelactone hydrolase	FALSE
89	PC_00000329	genome_2	K02520	infC; translation initiation factor IF-3	COG0290	Translation initiation factor IF-3	FALSE
90	PC_00000942	genome_2	K00791	miaA; tRNA dimethylallyltransferase [EC:2.5.1.75]	COG0324	tRNA A37 N6-isopentenylltransferase MiaA	FALSE
91	PC_00000536	genome_2	K02470	gyrB; DNA gyrase subunit B [EC:5.99.1.3]	COG0187	DNA gyrase/topoisomerase IV, subunit B	FALSE
92	PC_00002266	genome_2	NA	NA	NA	NA	FALSE
93	PC_00000651	genome_2	K06199	crcB; CrcB protein	COG0239	Fluoride ion exporter CrcB/FEX, affects chromosome condensation	FALSE
94	PC_00001262	genome_2	K06199	crcB; CrcB protein	COG0239	Fluoride ion exporter CrcB/FEX, affects chromosome condensation	FALSE
95	PC_00000425	genome_2	K00432	gpx; glutathione peroxidase [EC:1.11.1.9]	COG0386	Glutathione peroxidase, house-cleaning role in reducing lipid peroxides	FALSE
96	PC_00001126	genome_2	K06213	mgtE; magnesium transporter	COG2239	Mg/Co/Ni transporter MgtE (contains CBS domain)	FALSE
97	PC_00000982	genome_2	K03087	SIG2; RNA polymerase nonessential primary-like sigma factor	COG0568	DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)	FALSE
98	PC_00000127	genome_2	NA	NA	COG2267	Lysophospholipase, alpha-beta hydrolase superfamily	FALSE
99	PC_00001701	genome_2	NA	NA	COG0841	Multidrug efflux pump subunit AcrB	FALSE
100	PC_00001737	genome_2	NA	NA	COG0845	Multidrug efflux pump subunit AcrA (membrane-fusion protein)	FALSE
101	PC_00000114	genome_2	K03575	mutY; A/G-specific adenine glycosylase [EC:3.2.2.-]	COG1051!!!COG1194	ADP-ribose pyrophosphatase YjhB, NUDIX family!!!Adenine-specific DNA glycosylase, acts on AG and A-oxoG pairs	FALSE
102	PC_00001393	genome_2	K00847	E2.7.1.4; fructokinase [EC:2.7.1.4]	COG0524	Sugar or nucleoside kinase, ribokinase family	FALSE
103	PC_00004188	genome_2	NA	NA	COG0524	Sugar or nucleoside kinase, ribokinase family	FALSE
104	PC_00002930	genome_2	K01915	glnA; glutamine synthetase [EC:6.3.1.2]	COG0174	Glutamine synthetase	FALSE
105	PC_00008433	genome_2	NA	NA	NA	NA	FALSE
106	PC_00003019	genome_2	K03307	TC.SSS; solute:Na+ symporter, SSS family	COG0591	Na+/proline symporter	FALSE
107	PC_00001437	genome_2	K06925	tsaE; tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	COG0802	tRNA A37 threonylcarbamoyladenosine biosynthesis protein TsaE	FALSE
108	PC_00000828	genome_2	K01251	E3.3.1.1; adenosylhomocysteinase [EC:3.3.1.1]	COG0499	S-adenosylhomocysteine hydrolase	FALSE
109	PC_00000573	genome_2	NA	NA	COG0586	Uncharacterized membrane protein DedA, SNARE-associated domain	FALSE
110	PC_00000564	genome_2	K03111	ssb; single-strand DNA-binding protein	COG0629	Single-stranded DNA-binding protein	FALSE
111	PC_00000060	genome_2	K03569	mreB; rod shape-determining protein MreB and related proteins	COG1077	Actin-like ATPase involved in cell morphogenesis	FALSE
112	PC_00001212	genome_2	K03570	mreC; rod shape-determining protein MreC	COG1792	Cell shape-determining protein MreC	FALSE
113	PC_00001503	genome_2	NA	NA	NA	NA	FALSE
114	PC_00000672	genome_2	K17244	chiE; putative chitobiose transport system substrate-binding protein	COG1653	ABC-type glycerol-3-phosphate transport system, periplasmic component	FALSE
115	PC_00000010	genome_2	NA	NA	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	FALSE
116	PC_00000916	genome_2	K04567	KARS; lysyl-tRNA synthetase, class II [EC:6.1.1.6]	COG1190	Lysyl-tRNA synthetase (class II)	FALSE
117	PC_00000145	genome_2	NA	NA	NA	NA	FALSE
118	PC_00002071	genome_2	NA	NA	COG1842	Phage shock protein A	FALSE
119	PC_00002311	genome_2	NA	NA	NA	NA	FALSE
120	PC_00001550	genome_2	NA	NA	COG4301	Uncharacterized conserved protein, contains predicted SAM-dependent methyltransferase domain	FALSE
121	PC_00001555	genome_2	NA	NA	COG1262	Formylglycine-generating enzyme, required for sulfatase activity, contains SUMF1/FGE domain	FALSE
122	PC_00001722	genome_2	NA	NA	COG0515	Serine/threonine protein kinase	FALSE
123	PC_00000085	genome_2	K03664	smpB; SsrA-binding protein	COG0691	tmRNA-binding protein	FALSE
124	PC_00000797	genome_2	K03551	ruvB; holliday junction DNA helicase RuvB [EC:3.6.4.12]	COG2255	Holliday junction resolvasome RuvABC, ATP-dependent DNA helicase subunit	FALSE
125	PC_00000412	genome_2	NA	NA	COG0457	Tetratricopeptide (TPR) repeat	FALSE
126	PC_00000656	genome_2	NA	NA	COG1473	Metal-dependent amidase/aminoacylase/carboxypeptidase	FALSE
127	PC_00001997	genome_2	NA	NA	NA	NA	FALSE
128	PC_00001228	genome_2	NA	NA	COG1413	HEAT repeat	FALSE
129	PC_00000092	genome_2	K03147	thiC; phosphomethylpyrimidine synthase [EC:4.1.99.17]	COG0422	Thiamine biosynthesis protein ThiC	FALSE
130	PC_00000664	genome_2	K00615	E2.2.1.1; transketolase [EC:2.2.1.1]	COG0021	Transketolase	FALSE
131	PC_00000633	genome_2	K09458	fabF; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]	COG0304	3-oxoacyl-(acyl-carrier-protein) synthase	FALSE
132	PC_00000156	genome_2	K02078	acpP; acyl carrier protein	COG0236	Acyl carrier protein	FALSE
133	PC_00001158	genome_2	K02691	psaC; photosystem I subunit VII	COG1143	Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)	FALSE
134	PC_00000890	genome_2	K00820	glmS; glucosamine--fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16]	COG0449	Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains	FALSE
135	PC_00004381	genome_2	K07064	uncharacterized protein	COG1848	Predicted nucleic acid-binding protein, contains PIN domain	FALSE
136	PC_00003506	genome_2	NA	NA	NA	NA	FALSE
137	PC_00000074	genome_2	NA	NA	COG0471!!!COG0471!!!COG3273!!!COG3273	Di- and tricarboxylate transporter!!!Di- and tricarboxylate transporter!!!Uncharacterized conserved protein, contains PhoU and TrkA_C domains!!!Uncharacterized conserved protein, contains PhoU and TrkA_C domains	FALSE
138	PC_00007774	genome_2	NA	NA	COG1216	Glycosyltransferase, GT2 family	FALSE
139	PC_00012318	genome_2	NA	NA	NA	NA	FALSE
140	PC_00007439	genome_2	NA	NA	NA	NA	FALSE
141	PC_00010397	genome_2	NA	NA	NA	NA	FALSE
142	PC_00013486	genome_2	NA	NA	NA	NA	FALSE
143	PC_00013833	genome_2	NA	NA	NA	NA	FALSE
144	PC_00007240	genome_2	NA	NA	NA	NA	FALSE
145	PC_00001799	genome_2	K02377	TSTA3; GDP-L-fucose synthase [EC:1.1.1.271]	COG0451	Nucleoside-diphosphate-sugar epimerase	FALSE
146	PC_00001740	genome_2	K01711	gmd; GDPmannose 4,6-dehydratase [EC:4.2.1.47]	COG1089	GDP-D-mannose dehydratase	FALSE
147	PC_00006607	genome_2	NA	NA	COG2148	Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid)	FALSE
148	PC_00003007	genome_2	K01991	ABC-2.OM; polysaccharide biosynthesis/export protein	COG1596	Periplasmic protein involved in polysaccharide export, contains SLBB domain of the beta-grasp fold	FALSE
149	PC_00003277	genome_2	NA	NA	COG0489!!!COG3206	Chromosome partitioning ATPase, Mrp family, contains Fe-S cluster!!!Uncharacterized protein involved in exopolysaccharide biosynthesis	FALSE
150	PC_00003215	genome_2	NA	NA	COG2453	Protein-tyrosine phosphatase	FALSE
151	PC_00003643	genome_2	NA	NA	NA	NA	FALSE
152	PC_00008244	genome_2	NA	NA	NA	NA	FALSE
153	PC_00011709	genome_2	NA	NA	NA	NA	FALSE
154	PC_00003486	genome_2	NA	NA	COG1215	Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase	FALSE
155	PC_00003098	genome_2	NA	NA	COG0156!!!COG0236!!!COG0604!!!COG1028!!!COG3321	7-keto-8-aminopelargonate synthetase or related enzyme!!!Acyl carrier protein!!!NADPH:quinone reductase or related Zn-dependent oxidoreductase!!!NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family!!!Acyl transferase domain in polyketide synthase (PKS) enzymes	FALSE
156	PC_00003115	genome_2	K03429	ugtP; processive 1,2-diacylglycerol beta-glucosyltransferase [EC:2.4.1.315]	COG0707	UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase	FALSE
157	PC_00000120	genome_2	K08678	UXS1; UDP-glucuronate decarboxylase [EC:4.1.1.35]	COG0451	Nucleoside-diphosphate-sugar epimerase	FALSE
158	PC_00000905	genome_2	K00971	manC; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	COG0662!!!COG0836	Mannose-6-phosphate isomerase, cupin superfamily!!!Mannose-1-phosphate guanylyltransferase	FALSE
159	PC_00006663	genome_2	NA	NA	NA	NA	FALSE
160	PC_00012024	genome_2	NA	NA	NA	NA	FALSE
161	PC_00003728	genome_2	NA	NA	NA	NA	FALSE
162	PC_00003728	genome_2	NA	NA	COG1669	Predicted nucleotidyltransferase	FALSE
163	PC_00004434	genome_2	NA	NA	COG1708	Predicted nucleotidyltransferase	FALSE
164	PC_00005738	genome_2	NA	NA	COG1598	Predicted nuclease of the RNAse H fold, HicB family	FALSE
165	PC_00010777	genome_2	K18429	legG; GDP/UDP-N,N_-diacetylbacillosamine 2-epimerase (hydrolysing) [EC:3.2.1.184]	COG0381	UDP-N-acetylglucosamine 2-epimerase	FALSE
166	PC_00009928	genome_2	NA	NA	COG1083	CMP-N-acetylneuraminic acid synthetase	FALSE
167	PC_00011600	genome_2	K03980	murJ; putative peptidoglycan lipid II flippase	COG0728	Peptidoglycan biosynthesis protein MviN/MurJ, putative lipid II flippase	FALSE
168	PC_00009966	genome_2	K02501	hisH; glutamine amidotransferase [EC:2.4.2.-]	COG0118	Imidazoleglycerol phosphate synthase glutamine amidotransferase subunit HisH	FALSE
169	PC_00006350	genome_2	NA	NA	COG2171	Tetrahydrodipicolinate N-succinyltransferase	FALSE
170	PC_00013087	genome_2	K18430	legI; N,N_-diacetyllegionaminate synthase [EC:2.5.1.101]	COG2089	Sialic acid synthase SpsE, contains C-terminal SAF domain	FALSE
171	PC_00009576	genome_2	NA	NA	COG2301	Citrate lyase beta subunit	FALSE
172	PC_00012394	genome_2	K02500	hisF; cyclase [EC:4.1.3.-]	COG0107	Imidazole glycerol phosphate synthase subunit HisF	FALSE
173	PC_00004881	genome_2	NA	NA	COG0037	tRNA(Ile)-lysidine synthase TilS/MesJ	FALSE
174	PC_00006901	genome_2	K01953	asnB; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	COG0367	Asparagine synthetase B (glutamine-hydrolyzing)	FALSE
175	PC_00010840	genome_2	K19430	epsN; pyridoxal phosphate-dependent aminotransferase EpsN [EC:2.6.1.-]	COG0399!!!COG0517	dTDP-4-amino-4,6-dideoxygalactose transaminase!!!CBS domain	FALSE
176	PC_00008813	genome_2	NA	NA	NA	NA	FALSE
177	PC_00006436	genome_2	NA	NA	COG2089	Sialic acid synthase SpsE, contains C-terminal SAF domain	FALSE
178	PC_00010330	genome_2	NA	NA	COG1083	CMP-N-acetylneuraminic acid synthetase	FALSE
179	PC_00007036	genome_2	NA	NA	COG2148	Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid)	FALSE
180	PC_00010272	genome_2	NA	NA	COG0381	UDP-N-acetylglucosamine 2-epimerase	FALSE
181	PC_00010364	genome_2	NA	NA	COG0673	Predicted dehydrogenase	FALSE
182	PC_00008966	genome_2	NA	NA	NA	NA	FALSE
183	PC_00008291	genome_2	NA	NA	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	FALSE
184	PC_00007222	genome_2	NA	NA	NA	NA	FALSE
185	PC_00009900	genome_2	NA	NA	NA	NA	FALSE
186	PC_00002169	genome_2	NA	NA	COG1086	NDP-sugar epimerase, includes UDP-GlcNAc-inverting 4,6-dehydratase FlaA1 and capsular polysaccharide biosynthesis protein EpsC	FALSE
187	PC_00000074	genome_2	NA	NA	COG0471!!!COG0471!!!COG0490!!!COG0569	Di- and tricarboxylate transporter!!!Di- and tricarboxylate transporter!!!K+/H+ antiporter YhaU, regulatory subunit KhtT!!!Trk K+ transport system, NAD-binding component	FALSE
188	PC_00000667	genome_2	K02860	rimM; 16S rRNA processing protein RimM	COG0806	Ribosomal 30S subunit maturation factor RimM, required for 16S rRNA processing	FALSE
189	PC_00001411	genome_2	NA	NA	NA	NA	FALSE
190	PC_00000119	genome_2	K10716	kch; voltage-gated potassium channel	COG2126	Ribosomal protein L37E	FALSE
191	PC_00011598	genome_2	NA	NA	COG3744	PIN domain nuclease, a component of toxin-antitoxin system (PIN domain)	FALSE
192	PC_00007765	genome_2	NA	NA	COG4118	Antitoxin component of toxin-antitoxin stability system, DNA-binding transcriptional repressor	FALSE
193	PC_00002077	genome_2	K03685	rnc; ribonuclease III [EC:3.1.26.3]	COG0571	dsRNA-specific ribonuclease	FALSE
194	PC_00002187	genome_2	K03282	mscL; large conductance mechanosensitive channel	COG1970	Large-conductance mechanosensitive channel	FALSE
195	PC_00000223	genome_2	NA	NA	NA	NA	FALSE
196	PC_00000618	genome_2	NA	NA	NA	NA	FALSE
197	PC_00000999	genome_2	K00688	PYG; glycogen phosphorylase [EC:2.4.1.1]	COG0058	Glucan phosphorylase	FALSE
198	PC_00000727	genome_2	NA	NA	COG0475	Kef-type K+ transport system, membrane component KefB	FALSE
199	PC_00001353	genome_2	NA	NA	NA	NA	FALSE
200	PC_00000717	genome_2	NA	NA	COG2267	Lysophospholipase, alpha-beta hydrolase superfamily	FALSE
201	PC_00000655	genome_2	NA	NA	COG2017	Galactose mutarotase or related enzyme	FALSE
202	PC_00001576	genome_2	K11472	glcE; glycolate oxidase FAD binding subunit	COG0277	FAD/FMN-containing dehydrogenase	FALSE
203	PC_00001394	genome_2	NA	NA	COG3395	Uncharacterized conserved protein YgbK, DUF1537 family	FALSE
204	PC_00003642	genome_2	NA	NA	COG0346	Catechol 2,3-dioxygenase or other lactoylglutathione lyase family enzyme	FALSE
205	PC_00001548	genome_2	K11473	glcF; glycolate oxidase iron-sulfur subunit	COG0247	Fe-S oxidoreductase	FALSE
206	PC_00000121	genome_2	K00031	IDH1; isocitrate dehydrogenase [EC:1.1.1.42]	COG0538	Isocitrate dehydrogenase	FALSE
207	PC_00000969	genome_2	NA	NA	NA	NA	FALSE
208	PC_00000485	genome_2	K21480	HO; heme oxygenase (biliverdin-producing, ferredoxin) [EC:1.14.15.20]	COG5398	Heme oxygenase	FALSE
209	PC_00000704	genome_2	NA	NA	COG0438	Glycosyltransferase involved in cell wall bisynthesis	FALSE
210	PC_00001687	genome_2	K06147	ABCB-BAC; ATP-binding cassette, subfamily B, bacterial	COG1132	ABC-type multidrug transport system, ATPase and permease component	FALSE
211	PC_00009077	genome_2	NA	NA	COG0438	Glycosyltransferase involved in cell wall bisynthesis	FALSE
212	PC_00002392	genome_2	NA	NA	COG0438	Glycosyltransferase involved in cell wall bisynthesis	FALSE
213	PC_00002365	genome_2	NA	NA	COG0438	Glycosyltransferase involved in cell wall bisynthesis	FALSE
214	PC_00001986	genome_2	NA	NA	COG0438!!!COG0707	Glycosyltransferase involved in cell wall bisynthesis!!!UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase	FALSE
215	PC_00002854	genome_2	NA	NA	NA	NA	FALSE
216	PC_00010579	genome_2	NA	NA	NA	NA	FALSE
217	PC_00007153	genome_2	NA	NA	NA	NA	FALSE
218	PC_00009016	genome_2	NA	NA	NA	NA	FALSE
219	PC_00001036	genome_2	K03657	uvrD; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]	COG0210	Superfamily I DNA or RNA helicase	FALSE
